Sample,Predicted Polymer,Predicted Density,Predicted Crystallinity,Predicted SCB,Quality Grade,Recycling Pathway
H0001ULDPE,LDPE/ULDPE,0.9174,0.3756,18.9,Grade B,Mixed film stream
H0002LDPE,LDPE/ULDPE,0.9193,0.3872,30.7,Grade B,Mixed film stream
H0003LDPE,LDPE/ULDPE,0.9139,0.3813,29.2,Grade B,Mixed film stream
H0004LLDPE,LDPE/ULDPE,0.9136,0.4136,20.1,Grade A,Clean film stream
H0005LLDPE,LDPE/ULDPE,0.9185,0.361,25.8,Grade B,Mixed film stream
H0006MDPE,LLDPE/MDPE,0.9391,0.5249,19.7,Grade A,Clean film / flexible packaging stream
H0007HDPE,HDPE,0.9499,0.5598,10.1,Grade A,Food-grade HDPE stream — premium PCR
H0008HDPE,HDPE,0.952,0.63,14.1,Grade A,Food-grade HDPE stream — premium PCR
H0009PP,PP,0.9014,0.4138,294.5,Grade A,Polypropylene stream — packaging reuse
N1473LDPE,LDPE/ULDPE,0.9159,0.301,26.3,Grade B,Mixed film stream
N1474HDPE,LDPE/ULDPE,0.9177,0.4637,17.1,Grade A,Clean film stream
N1476LDPE,LDPE/ULDPE,0.9152,0.3521,23.5,Grade B,Mixed film stream
S0011PP,PP,0.9096,0.4034,304.8,Grade A,Polypropylene stream — packaging reuse
S0024LDPE,LDPE/ULDPE,0.9161,0.4295,25.2,Grade A,Clean film stream
S0036RPP,PP,0.9116,0.377,302.5,Grade B,Polypropylene stream — industrial reuse
S0040HDPE,HDPE,0.9524,0.6085,15.6,Grade A,Food-grade HDPE stream — premium PCR
S0048HDPE,HDPE,0.9499,0.5753,16.5,Grade A,Food-grade HDPE stream — premium PCR
S0052PP,PP,0.8965,0.3903,274.2,Grade A,Polypropylene stream — packaging reuse
S0081LDPE,LDPE/ULDPE,0.9205,0.3773,23.4,Grade B,Mixed film stream
0HDPE_100PP,BLEND,0.9077,0.3736,280.3,CONTAMINATED,REJECT — secondary sorting required
10HDPE_90PP,BLEND,0.8998,0.3558,292.0,CONTAMINATED,REJECT — secondary sorting required
20HDPE_80PP,BLEND,0.8995,0.3686,290.1,CONTAMINATED,REJECT — secondary sorting required
30HDPE_70PP,BLEND,0.8997,0.3522,290.0,CONTAMINATED,REJECT — secondary sorting required
40HDPE_60PP,BLEND,0.9018,0.3518,290.2,CONTAMINATED,REJECT — secondary sorting required
50HDPE_50PP,BLEND,0.9022,0.3561,289.5,CONTAMINATED,REJECT — secondary sorting required
60HDPE_40PP,BLEND,0.9022,0.3557,291.3,CONTAMINATED,REJECT — secondary sorting required
70HDPE_30PP,BLEND,0.9045,0.3574,31.3,CONTAMINATED,REJECT — secondary sorting required
80HDPE_20PP,BLEND,0.9021,0.3708,254.9,CONTAMINATED,REJECT — secondary sorting required
90HDPE_10PP,BLEND,0.9034,0.3802,35.3,CONTAMINATED,REJECT — secondary sorting required
100HDPE_0PP,BLEND,0.9046,0.3802,32.8,CONTAMINATED,REJECT — secondary sorting required
L_0,BLEND,0.9133,0.523,24.0,CONTAMINATED,REJECT — secondary sorting required
L_10,BLEND,0.9,0.3712,292.6,CONTAMINATED,REJECT — secondary sorting required
L_20,BLEND,0.9002,0.3713,293.1,CONTAMINATED,REJECT — secondary sorting required
L_30,BLEND,0.9016,0.3693,286.7,CONTAMINATED,REJECT — secondary sorting required
L_50,BLEND,0.9035,0.391,289.4,CONTAMINATED,REJECT — secondary sorting required
L_70,BLEND,0.9033,0.3904,290.1,CONTAMINATED,REJECT — secondary sorting required
L_80,BLEND,0.9008,0.3915,289.2,CONTAMINATED,REJECT — secondary sorting required
L_90,BLEND,0.9031,0.3911,289.9,CONTAMINATED,REJECT — secondary sorting required
L_100,BLEND,0.9099,0.3833,30.2,CONTAMINATED,REJECT — secondary sorting required
